,parameter,experiment,metabolite,compartment,enzyme,reaction,value,edges
0,km,,adn,c,AHC1,AHC,5.66E-06,
1,km,,ahcys,c,AHC1,AHC,2.32E-05,
2,km,,hcys-L,c,AHC1,AHC,1.06E-05,
3,km,,glyb,c,BHMT1,BHMT,0.00845898,
4,km,,hcys-L,c,BHMT1,BHMT,1.98E-05,
5,km,,hcys-L,c,CBS1,CBS,4.24E-05,
6,km,,ser-L,c,CBS1,CBS,2.83E-06,
7,km,,amet,c,GNMT1,GNMT,0.000520015,
8,km,,gly,c,GNMT1,GNMT,0.00253545,
9,km,,atp,c,MAT1,METAT,0.00203015,
10,km,,met-L,c,MAT1,METAT,0.000106919,
11,km,,atp,c,MAT3,METAT,0.00236759,
12,km,,met-L,c,MAT3,METAT,0.00113258,
13,km,,amet,c,METH-Gen,METH,9.37E-06,
14,km,,5mthf,c,MS1,MS,6.94E-05,
15,km,,hcys-L,c,MS1,MS,1.71E-06,
16,km,,mlthf,c,MTHFR1,MTHFR,8.08E-05,
17,km,,nadph,c,MTHFR1,MTHFR,2.09E-05,
18,km,,met-L,c,PROT1,PROT,4.39E-05,
0,drain,dataset1,,,,met-L-source,0.000850127,
1,drain,dataset10,,,,met-L-source,0.000828287,
2,drain,dataset11,,,,met-L-source,0.00076703,
3,drain,dataset12,,,,met-L-source,0.000726294,
4,drain,dataset2,,,,met-L-source,0.00111607,
5,drain,dataset3,,,,met-L-source,0.000743496,
6,drain,dataset4,,,,met-L-source,0.000762288,
7,drain,dataset5,,,,met-L-source,0.000739119,
8,drain,dataset6,,,,met-L-source,0.000764852,
9,drain,dataset7,,,,met-L-source,0.000820257,
10,drain,dataset8,,,,met-L-source,0.000789218,
11,drain,dataset9,,,,met-L-source,0.000775079,
12,drain,validation,,,,met-L-source,0.000756734,
0,ki,,ahcys,c,GNMT1,GNMT,5.31E-05,
1,ki,,amet,c,MAT1,METAT,0.000346704,
2,ki,,ahcys,c,METH-Gen,METH,5.56E-06,
0,dissociation_constant,,mlthf,c,GNMT1,GNMT,0.000228576,
1,dissociation_constant,,amet,c,MTHFR1,MTHFR,1.46E-05,
0,dissociation_constant,,amet,c,CBS1,CBS,9.30E-05,
1,dissociation_constant,,amet,c,GNMT1,GNMT,1.98E-05,
2,dissociation_constant,,amet,c,MAT3,METAT,0.000316641,
3,dissociation_constant,,met-L,c,MAT3,METAT,0.00059999,
4,dissociation_constant,,ahcys,c,MTHFR1,MTHFR,2.45E-06,
0,transfer_constant,,,,CBS1,CBS,1.03452,
1,transfer_constant,,,,GNMT1,GNMT,131.207,
2,transfer_constant,,,,MAT3,METAT,0.107657,
3,transfer_constant,,,,MTHFR1,MTHFR,0.392035,
0,kcat,,,,AHC1,AHC,234.284,
1,kcat,,,,BHMT1,BHMT,13.7676,
2,kcat,,,,CBS1,CBS,7.02307,
3,kcat,,,,GNMT1,GNMT,10.5307,
4,kcat,,,,MAT1,METAT,7.89577,
5,kcat,,,,MAT3,METAT,19.9215,
6,kcat,,,,METH-Gen,METH,1.15777,
7,kcat,,,,MS1,MS,1.77471,
